Trip_Type,Surroundings,Room_Type,Season,Duration_Days,Activity_To_Perform,Budget_INR,Destination
Solo Trip,Hills,Houseboat,Monsoon,2,Skiing,72597,West Bengal
Wildlife Trip,Mountains,Ashram Accommodation,Autumn,2,Safari,72597,Himachal Pradesh
Adventure Trip,Mountains,Luxury Hotel,Winter,5,White Water Rafting,72597,Himachal Pradesh
Family Trip,Hills,Hostel Dorm,Summer,2,Ayurvedic Spa,72597,Kerala
Adventure Trip,Hills,Ashram Accommodation,Winter,2,Scuba Diving,72597,West Bengal
Wildlife Trip,Backwaters,Homestay,Autumn,9,Safari,72597,Kerala
Backpacking Trip,Temple Town,Beachfront Villa,Autumn,9,Camping,72597,Maharashtra
Adventure Trip,French Colony,Camping,Monsoon,6,Motorcycling,72597,Puducherry
Solo Trip,Forest,Heritage Hotel,Monsoon,6,Skiing,72597,Madhya Pradesh
Honeymoon Trip,Temple Town,Jungle Lodge,Winter,10,Sightseeing,72597,Maharashtra
Cultural Trip,Mountains,Ashram Accommodation,Winter,5,Heritage Walk,72597,Himachal Pradesh
Solo Trip,Mountains,Luxury Hotel,Autumn,5,Relaxation,72597,Himachal Pradesh
Group Trip,Mountains,Heritage Hotel,Spring,5,Relaxation,72597,Jammu and Kashmir
Romantic Getaway,Mountains,Homestay,Autumn,8,Relaxation,72597,Himachal Pradesh
Family Trip,Temples,Beachfront Resort,Autumn,8,Toy Train Ride,72597,Madhya Pradesh
Romantic Getaway,Mountains,Ashram Accommodation,Autumn,9,Scuba Diving,72597,Himachal Pradesh
Pilgrimage Trip,Mountains,Houseboat,Spring,8,Religious visit,72597,Jammu and Kashmir
Group Trip,Mountains,Camping,Summer,6,Toy Train Ride,72597,Himachal Pradesh
Solo Trip,Temples,Luxury Hotel,Monsoon,10,Motorcycling,72597,Madhya Pradesh
Pilgrimage Trip,City,Beachfront Villa,Summer,8,Religious visit,72597,Uttar Pradesh
Backpacking Trip,Forest,Camping,Spring,9,Trekking,72597,Madhya Pradesh
Wildlife Trip,Mountains,Heritage Hotel,Monsoon,10,Safari,72597,Himachal Pradesh
Pilgrimage Trip,Forest,Jungle Lodge,Spring,2,Religious visit,72597,Maharashtra
Pilgrimage Trip,Forest,Houseboat,Winter,5,Religious visit,72597,Madhya Pradesh
Solo Trip,City,Beachfront Resort,Monsoon,6,Skiing,72597,Uttar Pradesh
Honeymoon Trip,Mountains,Beachfront Resort,Autumn,5,Relaxation,72597,Jammu and Kashmir
Solo Trip,Beach,Homestay,Summer,2,Relaxation,72597,Goa
Solo Trip,Religious Town,Jungle Lodge,Spring,4,Motorcycling,72597,Uttar Pradesh
Family Trip,Temples,Hostel Dorm,Spring,5,Ayurvedic Spa,72597,Madhya Pradesh
Honeymoon Trip,Desert,Jungle Lodge,Winter,2,Sightseeing,72597,Ladakh
Family Trip,French Colony,Homestay,Autumn,2,Ayurvedic Spa,72597,Puducherry
Honeymoon Trip,Forest,Heritage Hotel,Spring,3,Relaxation,72597,Maharashtra
Family Trip,Mountains,Beachfront Resort,Winter,6,Heritage Walk,72597,Uttarakhand
Adventure Trip,Mountains,Beachfront Villa,Winter,7,Camping,72597,Himachal Pradesh
Group Trip,Beach,Camping,Spring,3,Toy Train Ride,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Backwaters,Hostel Dorm,Monsoon,3,Religious visit,72597,Kerala
Group Trip,Religious Town,Heritage Hotel,Monsoon,3,Heritage Walk,72597,Uttar Pradesh
Honeymoon Trip,Mountains,Ashram Accommodation,Winter,10,Ayurvedic Spa,72597,Himachal Pradesh
Group Trip,Forest,Ashram Accommodation,Summer,10,Temple hopping,72597,Madhya Pradesh
Wildlife Trip,Hills,Hostel Dorm,Summer,8,Safari,72597,Kerala
Group Trip,Temple Town,Camping,Spring,4,Toy Train Ride,72597,Maharashtra
Wildlife Trip,Mountains,Luxury Hotel,Spring,4,Safari,72597,Himachal Pradesh
Cultural Trip,Backwaters,Beachfront Resort,Autumn,3,Heritage Walk,72597,Kerala
Wildlife Trip,Backwaters,Beachfront Resort,Monsoon,7,Safari,72597,Kerala
Wildlife Trip,French Colony,Hostel Dorm,Spring,4,Safari,72597,Puducherry
Group Trip,Mountains,Homestay,Spring,8,Relaxation,72597,Uttarakhand
Honeymoon Trip,Mountains,Luxury Hotel,Autumn,2,Relaxation,72597,Himachal Pradesh
Adventure Trip,Forest,Camping,Monsoon,4,Motorcycling,72597,Maharashtra
Romantic Getaway,Royal Palaces,Houseboat,Autumn,10,Ayurvedic Spa,72597,Rajasthan
Wildlife Trip,Temple Town,Luxury Hotel,Winter,8,Safari,72597,Maharashtra
Romantic Getaway,Mountains,Hostel Dorm,Winter,4,Relaxation,72597,Uttarakhand
Romantic Getaway,Hills,Heritage Hotel,Winter,7,Ayurvedic Spa,72597,Kerala
Honeymoon Trip,French Colony,Luxury Hotel,Monsoon,7,Scuba Diving,72597,Puducherry
Pilgrimage Trip,French Colony,Ashram Accommodation,Winter,10,Religious visit,72597,Puducherry
Solo Trip,Forest,Luxury Hotel,Summer,4,Trekking,72597,Madhya Pradesh
Honeymoon Trip,Mountains,Ashram Accommodation,Autumn,5,Sightseeing,72597,Ladakh
Cultural Trip,Religious Town,Beachfront Resort,Summer,4,Temple hopping,72597,Uttar Pradesh
Family Trip,Mountains,Houseboat,Summer,5,Toy Train Ride,72597,Uttarakhand
Backpacking Trip,Mountains,Camping,Winter,2,Heritage Walk,72597,Himachal Pradesh
Wildlife Trip,Hills,Beachfront Villa,Winter,3,Safari,72597,West Bengal
Romantic Getaway,Mountains,Camping,Spring,3,Relaxation,72597,Himachal Pradesh
Backpacking Trip,Backwaters,Beachfront Resort,Summer,3,Camping,72597,Kerala
Pilgrimage Trip,Mountains,Homestay,Spring,5,Religious visit,72597,Ladakh
Family Trip,Beach,Hostel Dorm,Monsoon,9,Toy Train Ride,72597,Goa
Family Trip,Mountains,Luxury Hotel,Spring,10,Relaxation,72597,Himachal Pradesh
Romantic Getaway,Islands,Heritage Hotel,Winter,2,Relaxation,72597,Andaman & Nicobar Islands
Cultural Trip,Hills,Homestay,Autumn,4,Heritage Walk,72597,West Bengal
Honeymoon Trip,Mountains,Beachfront Villa,Monsoon,3,Honeymoon Cruise,72597,Uttarakhand
Pilgrimage Trip,Temples,Homestay,Winter,10,Religious visit,72597,Madhya Pradesh
Adventure Trip,Forest,Houseboat,Spring,6,Camping,72597,Madhya Pradesh
Adventure Trip,Temple Town,Heritage Hotel,Spring,7,White Water Rafting,72597,Maharashtra
Honeymoon Trip,City,Beachfront Resort,Spring,4,Honeymoon Cruise,72597,Uttar Pradesh
Pilgrimage Trip,Mountains,Ashram Accommodation,Monsoon,8,Religious visit,72597,Himachal Pradesh
Romantic Getaway,Mountains,Ashram Accommodation,Monsoon,9,Honeymoon Cruise,72597,Jammu and Kashmir
Cultural Trip,Mountains,Hostel Dorm,Monsoon,5,Temple hopping,72597,Himachal Pradesh
Cultural Trip,Forest,Luxury Hotel,Winter,2,Temple hopping,72597,Madhya Pradesh
Family Trip,Deserts,Heritage Hotel,Monsoon,5,Sightseeing,72597,Rajasthan
Wildlife Trip,Beach,Heritage Hotel,Winter,9,Safari,72597,Goa
Group Trip,Forest,Luxury Hotel,Autumn,6,Temple hopping,72597,Madhya Pradesh
Family Trip,French Colony,Beachfront Villa,Autumn,9,Sightseeing,72597,Puducherry
Pilgrimage Trip,Desert,Homestay,Monsoon,4,Religious visit,72597,Ladakh
Romantic Getaway,Mountains,Hostel Dorm,Autumn,4,Relaxation,72597,Himachal Pradesh
Honeymoon Trip,Religious Town,Beachfront Resort,Spring,6,Relaxation,72597,Uttar Pradesh
Group Trip,Deserts,Ashram Accommodation,Summer,5,Temple hopping,72597,Rajasthan
Backpacking Trip,Forest,Ashram Accommodation,Monsoon,9,Heritage Walk,72597,Madhya Pradesh
Solo Trip,Mountains,Jungle Lodge,Autumn,6,Relaxation,72597,Ladakh
Romantic Getaway,Beach,Beachfront Resort,Spring,10,Scuba Diving,72597,Goa
Group Trip,Backwaters,Jungle Lodge,Autumn,3,Toy Train Ride,72597,Kerala
Group Trip,French Colony,Houseboat,Spring,5,Relaxation,72597,Puducherry
Adventure Trip,Beach,Hostel Dorm,Spring,4,Scuba Diving,72597,Andaman & Nicobar Islands
Group Trip,Desert,Jungle Lodge,Spring,3,Toy Train Ride,72597,Ladakh
Honeymoon Trip,Forest,Ashram Accommodation,Spring,4,Honeymoon Cruise,72597,Madhya Pradesh
Group Trip,Beach,Ashram Accommodation,Autumn,3,Temple hopping,72597,Andaman & Nicobar Islands
Wildlife Trip,Mountains,Beachfront Villa,Autumn,3,Safari,72597,Jammu and Kashmir
Family Trip,Religious Town,Hostel Dorm,Autumn,9,Sightseeing,72597,Uttar Pradesh
Group Trip,Forest,Hostel Dorm,Spring,9,Toy Train Ride,72597,Madhya Pradesh
Solo Trip,Mountains,Houseboat,Spring,6,Relaxation,72597,Jammu and Kashmir
Wildlife Trip,Backwaters,Heritage Hotel,Summer,8,Safari,72597,Kerala
Family Trip,Temples,Beachfront Resort,Autumn,9,Relaxation,72597,Madhya Pradesh
Backpacking Trip,Backwaters,Houseboat,Autumn,4,Heritage Walk,72597,Kerala
Group Trip,Mountains,Beachfront Resort,Spring,6,Toy Train Ride,72597,Himachal Pradesh
Cultural Trip,French Colony,Jungle Lodge,Monsoon,3,Temple hopping,72597,Puducherry
Family Trip,Mountains,Homestay,Spring,7,Sightseeing,72597,Himachal Pradesh
Family Trip,Hills,Beachfront Villa,Spring,4,Sightseeing,72597,West Bengal
Romantic Getaway,Mountains,Jungle Lodge,Summer,8,Scuba Diving,72597,Jammu and Kashmir
Family Trip,Hills,Ashram Accommodation,Winter,4,Toy Train Ride,72597,West Bengal
Group Trip,French Colony,Beachfront Villa,Monsoon,4,Relaxation,72597,Puducherry
Cultural Trip,Religious Town,Luxury Hotel,Winter,10,Temple hopping,72597,Uttar Pradesh
Family Trip,City,Houseboat,Spring,10,Heritage Walk,72597,Uttar Pradesh
Family Trip,French Colony,Camping,Spring,5,Ayurvedic Spa,72597,Puducherry
Pilgrimage Trip,Backwaters,Homestay,Winter,5,Religious visit,72597,Kerala
Pilgrimage Trip,Backwaters,Houseboat,Monsoon,3,Religious visit,72597,Kerala
Family Trip,French Colony,Heritage Hotel,Autumn,10,Heritage Walk,72597,Puducherry
Cultural Trip,Hills,Heritage Hotel,Summer,8,Heritage Walk,72597,Kerala
Cultural Trip,Mountains,Ashram Accommodation,Winter,7,Temple hopping,72597,Himachal Pradesh
Adventure Trip,Temple Town,Beachfront Resort,Summer,8,Trekking,72597,Maharashtra
Cultural Trip,Backwaters,Hostel Dorm,Winter,9,Heritage Walk,72597,Kerala
Pilgrimage Trip,Temples,Beachfront Villa,Spring,4,Religious visit,72597,Madhya Pradesh
Adventure Trip,Mountains,Beachfront Resort,Summer,10,Motorcycling,72597,Himachal Pradesh
Adventure Trip,Backwaters,Hostel Dorm,Summer,7,Camping,72597,Kerala
Pilgrimage Trip,Temples,Jungle Lodge,Winter,7,Religious visit,72597,Madhya Pradesh
Pilgrimage Trip,Islands,Luxury Hotel,Winter,2,Religious visit,72597,Andaman & Nicobar Islands
Backpacking Trip,Temple Town,Beachfront Villa,Monsoon,9,Heritage Walk,72597,Maharashtra
Honeymoon Trip,Temple Town,Ashram Accommodation,Spring,4,Ayurvedic Spa,72597,Maharashtra
Group Trip,Backwaters,Ashram Accommodation,Summer,8,Relaxation,72597,Kerala
Pilgrimage Trip,Temple Town,Ashram Accommodation,Summer,3,Religious visit,72597,Maharashtra
Romantic Getaway,Mountains,Beachfront Villa,Winter,8,Ayurvedic Spa,72597,Himachal Pradesh
Romantic Getaway,Religious Town,Heritage Hotel,Autumn,4,Ayurvedic Spa,72597,Uttar Pradesh
Backpacking Trip,Forest,Hostel Dorm,Autumn,10,Camping,72597,Maharashtra
Honeymoon Trip,Deserts,Beachfront Resort,Autumn,9,Honeymoon Cruise,72597,Rajasthan
Group Trip,Beach,Ashram Accommodation,Monsoon,6,Heritage Walk,72597,Goa
Wildlife Trip,Hills,Jungle Lodge,Winter,10,Safari,72597,Kerala
Solo Trip,Mountains,Heritage Hotel,Autumn,10,Motorcycling,72597,Ladakh
Cultural Trip,Mountains,Luxury Hotel,Autumn,3,Temple hopping,72597,Jammu and Kashmir
Cultural Trip,Mountains,Hostel Dorm,Monsoon,5,Temple hopping,72597,Uttarakhand
Solo Trip,Temples,Camping,Winter,4,Relaxation,72597,Madhya Pradesh
Family Trip,Hills,Houseboat,Monsoon,4,Relaxation,72597,West Bengal
Romantic Getaway,Forest,Houseboat,Winter,7,Scuba Diving,72597,Madhya Pradesh
Romantic Getaway,Backwaters,Luxury Hotel,Winter,10,Honeymoon Cruise,72597,Kerala
Family Trip,Temple Town,Beachfront Resort,Summer,6,Ayurvedic Spa,72597,Maharashtra
Group Trip,Mountains,Ashram Accommodation,Winter,3,Sightseeing,72597,Himachal Pradesh
Adventure Trip,Desert,Heritage Hotel,Winter,9,Scuba Diving,72597,Ladakh
Wildlife Trip,Hills,Houseboat,Spring,9,Safari,72597,Kerala
Pilgrimage Trip,Hills,Camping,Autumn,2,Religious visit,72597,Kerala
Honeymoon Trip,Backwaters,Beachfront Villa,Spring,6,Sightseeing,72597,Kerala
Solo Trip,Religious Town,Houseboat,Autumn,8,Trekking,72597,Uttar Pradesh
Family Trip,Islands,Hostel Dorm,Winter,7,Toy Train Ride,72597,Andaman & Nicobar Islands
Romantic Getaway,Beach,Camping,Spring,8,Honeymoon Cruise,72597,Goa
Family Trip,Hills,Jungle Lodge,Autumn,4,Sightseeing,72597,Kerala
Cultural Trip,Mountains,Beachfront Resort,Monsoon,5,Heritage Walk,72597,Himachal Pradesh
Adventure Trip,Islands,Camping,Spring,8,Trekking,72597,Andaman & Nicobar Islands
Family Trip,Temples,Jungle Lodge,Autumn,8,Relaxation,72597,Madhya Pradesh
Pilgrimage Trip,Mountains,Beachfront Villa,Monsoon,5,Religious visit,72597,Ladakh
Romantic Getaway,Hills,Beachfront Resort,Summer,7,Honeymoon Cruise,72597,Kerala
Backpacking Trip,French Colony,Hostel Dorm,Autumn,4,Motorcycling,72597,Puducherry
Group Trip,Mountains,Beachfront Villa,Spring,5,Sightseeing,72597,Himachal Pradesh
Honeymoon Trip,Hills,Hostel Dorm,Summer,6,Sightseeing,72597,Kerala
Wildlife Trip,Backwaters,Houseboat,Autumn,6,Safari,72597,Kerala
Wildlife Trip,Mountains,Homestay,Summer,3,Safari,72597,Uttarakhand
Solo Trip,Forest,Beachfront Villa,Winter,9,Trekking,72597,Madhya Pradesh
Cultural Trip,Mountains,Beachfront Villa,Monsoon,4,Heritage Walk,72597,Himachal Pradesh
Family Trip,Hills,Ashram Accommodation,Autumn,5,Heritage Walk,72597,West Bengal
Wildlife Trip,Temples,Homestay,Spring,4,Safari,72597,Madhya Pradesh
Honeymoon Trip,Temple Town,Camping,Autumn,7,Scuba Diving,72597,Maharashtra
Group Trip,Temples,Luxury Hotel,Monsoon,8,Sightseeing,72597,Madhya Pradesh
Solo Trip,Forest,Camping,Spring,6,Trekking,72597,Madhya Pradesh
Romantic Getaway,Beach,Jungle Lodge,Monsoon,10,Scuba Diving,72597,Goa
Pilgrimage Trip,Hills,Beachfront Villa,Summer,10,Religious visit,72597,West Bengal
Wildlife Trip,Hills,Beachfront Villa,Monsoon,3,Safari,72597,West Bengal
Wildlife Trip,Mountains,Houseboat,Autumn,7,Safari,72597,Himachal Pradesh
Solo Trip,Temples,Beachfront Resort,Monsoon,2,Trekking,72597,Madhya Pradesh
Adventure Trip,Backwaters,Luxury Hotel,Winter,2,Motorcycling,72597,Kerala
Solo Trip,Hills,Luxury Hotel,Winter,8,Trekking,72597,West Bengal
Honeymoon Trip,City,Hostel Dorm,Autumn,7,Ayurvedic Spa,72597,Uttar Pradesh
Pilgrimage Trip,Hills,Beachfront Villa,Monsoon,5,Religious visit,72597,West Bengal
Pilgrimage Trip,Backwaters,Jungle Lodge,Autumn,2,Religious visit,72597,Kerala
Adventure Trip,Forest,Houseboat,Autumn,3,Motorcycling,72597,Madhya Pradesh
Honeymoon Trip,Beach,Ashram Accommodation,Spring,3,Scuba Diving,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Hills,Camping,Summer,3,Religious visit,72597,Kerala
Wildlife Trip,Backwaters,Jungle Lodge,Summer,4,Safari,72597,Kerala
Solo Trip,Desert,Luxury Hotel,Winter,2,Relaxation,72597,Ladakh
Backpacking Trip,Mountains,Houseboat,Autumn,8,Motorcycling,72597,Himachal Pradesh
Adventure Trip,Mountains,Houseboat,Spring,8,Trekking,72597,Jammu and Kashmir
Family Trip,Mountains,Homestay,Spring,9,Heritage Walk,72597,Himachal Pradesh
Romantic Getaway,Mountains,Beachfront Villa,Winter,5,Ayurvedic Spa,72597,Ladakh
Group Trip,Mountains,Heritage Hotel,Winter,5,Temple hopping,72597,Himachal Pradesh
Wildlife Trip,Mountains,Houseboat,Monsoon,6,Safari,72597,Uttarakhand
Solo Trip,City,Ashram Accommodation,Summer,2,Skiing,72597,Uttar Pradesh
Cultural Trip,Mountains,Houseboat,Autumn,2,Heritage Walk,72597,Jammu and Kashmir
Adventure Trip,Hills,Jungle Lodge,Summer,10,Motorcycling,72597,Kerala
Wildlife Trip,Temples,Houseboat,Autumn,10,Safari,72597,Madhya Pradesh
Adventure Trip,Religious Town,Beachfront Resort,Autumn,3,White Water Rafting,72597,Uttar Pradesh
Backpacking Trip,Hills,Jungle Lodge,Spring,6,Camping,72597,West Bengal
Cultural Trip,Islands,Homestay,Autumn,5,Heritage Walk,72597,Andaman & Nicobar Islands
Wildlife Trip,Temple Town,Beachfront Resort,Autumn,3,Safari,72597,Maharashtra
Wildlife Trip,Mountains,Camping,Monsoon,2,Safari,72597,Himachal Pradesh
Group Trip,Islands,Luxury Hotel,Monsoon,10,Relaxation,72597,Andaman & Nicobar Islands
Honeymoon Trip,Forest,Beachfront Villa,Winter,7,Honeymoon Cruise,72597,Madhya Pradesh
Solo Trip,Islands,Heritage Hotel,Summer,7,Scuba Diving,72597,Andaman & Nicobar Islands
Romantic Getaway,Backwaters,Beachfront Villa,Winter,8,Honeymoon Cruise,72597,Kerala
Adventure Trip,Desert,Jungle Lodge,Winter,6,White Water Rafting,72597,Ladakh
Backpacking Trip,Backwaters,Heritage Hotel,Spring,6,Motorcycling,72597,Kerala
Cultural Trip,Forest,Beachfront Villa,Winter,7,Temple hopping,72597,Madhya Pradesh
Adventure Trip,Backwaters,Beachfront Villa,Winter,5,White Water Rafting,72597,Kerala
Honeymoon Trip,Temple Town,Hostel Dorm,Summer,4,Scuba Diving,72597,Maharashtra
Solo Trip,French Colony,Ashram Accommodation,Autumn,9,Scuba Diving,72597,Puducherry
Cultural Trip,Forest,Homestay,Monsoon,6,Temple hopping,72597,Maharashtra
Pilgrimage Trip,Hills,Homestay,Monsoon,8,Religious visit,72597,West Bengal
Cultural Trip,Backwaters,Beachfront Resort,Spring,2,Temple hopping,72597,Kerala
Family Trip,Forest,Homestay,Winter,10,Heritage Walk,72597,Maharashtra
Pilgrimage Trip,Desert,Jungle Lodge,Spring,10,Religious visit,72597,Ladakh
Honeymoon Trip,Backwaters,Camping,Autumn,7,Relaxation,72597,Kerala
Adventure Trip,City,Luxury Hotel,Spring,5,White Water Rafting,72597,Uttar Pradesh
Cultural Trip,Temples,Luxury Hotel,Winter,8,Heritage Walk,72597,Madhya Pradesh
Adventure Trip,Beach,Heritage Hotel,Winter,4,Trekking,72597,Goa
Cultural Trip,French Colony,Luxury Hotel,Summer,8,Heritage Walk,72597,Puducherry
Romantic Getaway,Royal Palaces,Camping,Spring,10,Honeymoon Cruise,72597,Rajasthan
Pilgrimage Trip,Backwaters,Hostel Dorm,Autumn,2,Religious visit,72597,Kerala
Family Trip,Forest,Beachfront Resort,Monsoon,8,Sightseeing,72597,Madhya Pradesh
Romantic Getaway,French Colony,Houseboat,Winter,10,Ayurvedic Spa,72597,Puducherry
Adventure Trip,Forest,Camping,Spring,8,Camping,72597,Maharashtra
Wildlife Trip,Forest,Hostel Dorm,Autumn,2,Safari,72597,Madhya Pradesh
Backpacking Trip,Mountains,Beachfront Resort,Monsoon,3,Trekking,72597,Ladakh
Honeymoon Trip,Forest,Luxury Hotel,Autumn,8,Sightseeing,72597,Madhya Pradesh
Honeymoon Trip,Backwaters,Hostel Dorm,Monsoon,7,Sightseeing,72597,Kerala
Solo Trip,Forest,Houseboat,Spring,6,Skiing,72597,Maharashtra
Wildlife Trip,Islands,Heritage Hotel,Autumn,9,Safari,72597,Andaman & Nicobar Islands
Group Trip,Forest,Camping,Spring,6,Relaxation,72597,Madhya Pradesh
Solo Trip,Backwaters,Houseboat,Winter,6,Scuba Diving,72597,Kerala
Adventure Trip,Forest,Ashram Accommodation,Monsoon,7,Motorcycling,72597,Madhya Pradesh
Family Trip,Mountains,Hostel Dorm,Summer,7,Toy Train Ride,72597,Uttarakhand
Honeymoon Trip,Mountains,Houseboat,Winter,7,Scuba Diving,72597,Uttarakhand
Wildlife Trip,Temples,Ashram Accommodation,Summer,10,Safari,72597,Madhya Pradesh
Backpacking Trip,City,Beachfront Villa,Summer,7,Motorcycling,72597,Uttar Pradesh
Adventure Trip,French Colony,Jungle Lodge,Autumn,6,White Water Rafting,72597,Puducherry
Cultural Trip,Mountains,Houseboat,Monsoon,8,Temple hopping,72597,Ladakh
Romantic Getaway,Mountains,Hostel Dorm,Winter,5,Honeymoon Cruise,72597,Jammu and Kashmir
Wildlife Trip,French Colony,Jungle Lodge,Autumn,2,Safari,72597,Puducherry
Group Trip,Hills,Heritage Hotel,Monsoon,4,Relaxation,72597,West Bengal
Backpacking Trip,Mountains,Homestay,Spring,4,Motorcycling,72597,Uttarakhand
Adventure Trip,Mountains,Luxury Hotel,Autumn,8,White Water Rafting,72597,Ladakh
Adventure Trip,Backwaters,Luxury Hotel,Autumn,2,Scuba Diving,72597,Kerala
Honeymoon Trip,Deserts,Luxury Hotel,Spring,8,Relaxation,72597,Rajasthan
Cultural Trip,Religious Town,Beachfront Villa,Autumn,4,Temple hopping,72597,Uttar Pradesh
Romantic Getaway,Religious Town,Luxury Hotel,Autumn,7,Ayurvedic Spa,72597,Uttar Pradesh
Honeymoon Trip,Beach,Luxury Hotel,Summer,5,Scuba Diving,72597,Goa
Pilgrimage Trip,Backwaters,Camping,Summer,8,Religious visit,72597,Kerala
Family Trip,Mountains,Luxury Hotel,Autumn,9,Sightseeing,72597,Himachal Pradesh
Honeymoon Trip,Hills,Jungle Lodge,Monsoon,6,Scuba Diving,72597,Kerala
Pilgrimage Trip,French Colony,Beachfront Villa,Spring,8,Religious visit,72597,Puducherry
Cultural Trip,Mountains,Beachfront Resort,Monsoon,10,Heritage Walk,72597,Himachal Pradesh
Adventure Trip,Forest,Beachfront Resort,Spring,2,Camping,72597,Madhya Pradesh
Adventure Trip,Beach,Heritage Hotel,Winter,7,Camping,72597,Goa
Honeymoon Trip,Islands,Houseboat,Autumn,5,Ayurvedic Spa,72597,Andaman & Nicobar Islands
Adventure Trip,French Colony,Jungle Lodge,Autumn,7,Scuba Diving,72597,Puducherry
Romantic Getaway,French Colony,Luxury Hotel,Monsoon,7,Ayurvedic Spa,72597,Puducherry
Honeymoon Trip,Mountains,Jungle Lodge,Winter,8,Sightseeing,72597,Ladakh
Cultural Trip,Religious Town,Ashram Accommodation,Summer,3,Temple hopping,72597,Uttar Pradesh
Cultural Trip,Temple Town,Beachfront Resort,Summer,5,Heritage Walk,72597,Maharashtra
Wildlife Trip,Beach,Hostel Dorm,Autumn,8,Safari,72597,Andaman & Nicobar Islands
Romantic Getaway,Backwaters,Heritage Hotel,Winter,8,Ayurvedic Spa,72597,Kerala
Wildlife Trip,French Colony,Houseboat,Monsoon,10,Safari,72597,Puducherry
Backpacking Trip,Mountains,Ashram Accommodation,Autumn,6,Motorcycling,72597,Jammu and Kashmir
Family Trip,Desert,Luxury Hotel,Spring,2,Relaxation,72597,Ladakh
Romantic Getaway,Forest,Ashram Accommodation,Winter,4,Honeymoon Cruise,72597,Maharashtra
Family Trip,Beach,Homestay,Monsoon,5,Heritage Walk,72597,Goa
Solo Trip,Mountains,Houseboat,Summer,5,Relaxation,72597,Jammu and Kashmir
Cultural Trip,City,Ashram Accommodation,Spring,2,Heritage Walk,72597,Uttar Pradesh
Cultural Trip,Mountains,Camping,Winter,10,Temple hopping,72597,Himachal Pradesh
Family Trip,Deserts,Jungle Lodge,Monsoon,5,Sightseeing,72597,Rajasthan
Adventure Trip,Mountains,Luxury Hotel,Spring,6,White Water Rafting,72597,Jammu and Kashmir
Cultural Trip,Backwaters,Luxury Hotel,Summer,10,Temple hopping,72597,Kerala
Family Trip,Temple Town,Homestay,Spring,6,Sightseeing,72597,Maharashtra
Backpacking Trip,Deserts,Camping,Winter,9,Camping,72597,Rajasthan
Pilgrimage Trip,Beach,Hostel Dorm,Spring,7,Religious visit,72597,Andaman & Nicobar Islands
Solo Trip,Forest,Hostel Dorm,Winter,2,Relaxation,72597,Maharashtra
Wildlife Trip,Forest,Heritage Hotel,Winter,8,Safari,72597,Madhya Pradesh
Wildlife Trip,French Colony,Beachfront Villa,Summer,8,Safari,72597,Puducherry
Family Trip,Beach,Houseboat,Winter,2,Heritage Walk,72597,Andaman & Nicobar Islands
Romantic Getaway,City,Homestay,Summer,4,Relaxation,72597,Uttar Pradesh
Adventure Trip,Mountains,Ashram Accommodation,Autumn,3,Scuba Diving,72597,Himachal Pradesh
Adventure Trip,Mountains,Beachfront Villa,Spring,4,Trekking,72597,Himachal Pradesh
Group Trip,Hills,Beachfront Villa,Summer,6,Relaxation,72597,Kerala
Cultural Trip,Forest,Heritage Hotel,Winter,4,Temple hopping,72597,Madhya Pradesh
Cultural Trip,Mountains,Jungle Lodge,Summer,6,Temple hopping,72597,Ladakh
Pilgrimage Trip,Religious Town,Homestay,Monsoon,7,Religious visit,72597,Uttar Pradesh
Adventure Trip,Backwaters,Beachfront Resort,Spring,7,Motorcycling,72597,Kerala
Solo Trip,Mountains,Houseboat,Monsoon,2,Trekking,72597,Himachal Pradesh
Wildlife Trip,Temple Town,Camping,Spring,6,Safari,72597,Maharashtra
Wildlife Trip,Mountains,Heritage Hotel,Winter,3,Safari,72597,Ladakh
Pilgrimage Trip,Temple Town,Houseboat,Monsoon,5,Religious visit,72597,Maharashtra
Cultural Trip,City,Beachfront Villa,Monsoon,10,Temple hopping,72597,Uttar Pradesh
Backpacking Trip,Mountains,Jungle Lodge,Autumn,3,Heritage Walk,72597,Jammu and Kashmir
Pilgrimage Trip,City,Homestay,Summer,6,Religious visit,72597,Uttar Pradesh
Group Trip,Backwaters,Jungle Lodge,Summer,5,Sightseeing,72597,Kerala
Wildlife Trip,Beach,Hostel Dorm,Autumn,4,Safari,72597,Goa
Cultural Trip,Beach,Heritage Hotel,Summer,9,Temple hopping,72597,Andaman & Nicobar Islands
Wildlife Trip,Backwaters,Luxury Hotel,Spring,2,Safari,72597,Kerala
Group Trip,Mountains,Heritage Hotel,Spring,6,Temple hopping,72597,Himachal Pradesh
Adventure Trip,Mountains,Ashram Accommodation,Autumn,5,White Water Rafting,72597,Uttarakhand
Pilgrimage Trip,Hills,Heritage Hotel,Summer,10,Religious visit,72597,Kerala
Pilgrimage Trip,Mountains,Luxury Hotel,Monsoon,3,Religious visit,72597,Himachal Pradesh
Backpacking Trip,Temples,Luxury Hotel,Winter,5,Motorcycling,72597,Madhya Pradesh
Cultural Trip,Mountains,Hostel Dorm,Winter,3,Heritage Walk,72597,Himachal Pradesh
Wildlife Trip,Temples,Beachfront Resort,Spring,10,Safari,72597,Madhya Pradesh
